2017,9,0.0,55.0,1.0,37.0,-62.0,988.0,44.0,90.0,0.0,0.0,775.0
2017,9,0.0,56.0,1.0,37.4,-59.0,988.0,44.0,90.0,0.0,0.0,861.0
2017,9,0.0,57.0,1.0,38.1,-55.6,988.0,44.0,90.0,0.0,0.0,911.0
2017,9,0.0,58.0,1.0,39.1,-52.2,988.0,44.0,90.0,0.0,0.0,837.0
2017,9,0.0,59.0,1.0,40.0,-48.8,988.0,44.0,90.0,0.0,0.0,814.0
2017,9,0.0,60.0,1.0,41.2,-45.6,991.0,39.6,90.0,0.0,0.0,852.0
2017,9,0.0,61.0,1.0,42.2,-42.6,994.0,39.6,90.0,0.0,0.0,966.0
2017,9,0.0,62.0,1.0,43.4,-39.4,996.0,39.6,90.0,0.0,0.0,1120.0
2017,9,0.0,63.0,1.0,44.9,-35.5,999.0,39.6,90.0,0.0,0.0,1339.0
2017,9,0.0,64.0,1.0,46.5,-31.0,1003.0,39.6,90.0,0.0,0.0,1596.0
2017,9,0.0,65.0,1.0,47.5,-26.5,1005.0,35.2,90.0,0.0,0.0,1245.0
2017,9,0.0,66.0,1.0,48.0,-22.0,1012.0,35.2,90.0,0.0,0.0,926.0
2017,9,0.0,67.0,1.0,48.0,-17.0,1016.0,26.4,90.0,0.0,0.0,628.0
